id,nombre,descripcion,usuario_id
1,Bases de Datos SQL,,1
2,Frontend Avanzado,,2
3,Python para Data Science,,3
4,Introducción a Git,,4
5,Desarrollo Web con Java,Creación de APIs robustas usando Spring Boot.,5
2,Frontend Avanzado,,6
5,Desarrollo Web con Java,,7
6,Arquitectura de Software,Patrones de diseño y microservicios.,8
3,Python para Data Science,,9
2,Frontend Avanzado,,10
2,Frontend Avanzado,,11
2,  FRONTEND AVANZADO  ,,12
3,  PYTHON PARA DATA SCIENCE  ,,13
3,  PYTHON PARA DATA SCIENCE  ,,14
3,Python para Data Science,,15
2,Frontend Avanzado,,16
6,Arquitectura de Software,,17
6,Arquitectura de Software,,18
6,Arquitectura de Software,,19
2,Frontend Avanzado,,20
3,Python para Data Science,,21
1,Bases de Datos SQL,Diseño relacional y optimización de consultas.,22
2,Frontend Avanzado,,23
2,Frontend Avanzado,,24
3,  PYTHON PARA DATA SCIENCE  ,,25
5,Desarrollo Web con Java,Creación de APIs robustas usando Spring Boot.,26
5,Desarrollo Web con Java,,27
3,Python para Data Science,Aprende a manipular datos con Pandas y NumPy.,28
6,  ARQUITECTURA DE SOFTWARE  ,,29
4,Introducción a Git,,30
6,  ARQUITECTURA DE SOFTWARE  ,,31
1,Bases de Datos SQL,,32
4,Introducción a Git,,33
4,Introducción a Git,,34
6,  ARQUITECTURA DE SOFTWARE  ,,35
1,Bases de Datos SQL,,36
5,Desarrollo Web con Java,,37
1,Bases de Datos SQL,,38
6,Arquitectura de Software,,39
3,Python para Data Science,,40
4,Introducción a Git,,41
5,Desarrollo Web con Java,,42
2,Frontend Avanzado,,43
5,  DESARROLLO WEB CON JAVA  ,Creación de APIs robustas usando Spring Boot.,44
2,Frontend Avanzado,"Dominio de React, HTML5 y Tailwind CSS.",45
4,Introducción a Git,,46
6,Arquitectura de Software,,47
2,Frontend Avanzado,,48
2,Frontend Avanzado,"Dominio de React, HTML5 y Tailwind CSS.",49
6,Arquitectura de Software,,50
